alter,mq,wq,md,wd,syph_msm,syph_msf,syph_female,relm_share,relw_share
0,0.002873802,0.002559151,0.00386782,0.00315269,0,0,0,0,0
1,0.008813250,0.007891952,0.00032721,0.00026396,0,0,0,0,0
2,0.008704061,0.007820895,0.00018875,0.00014894,0,0,0,0,0
3,0.009059573,0.008092485,0.00013906,0.00011173,0,0,0,0,0
4,0.009073662,0.008125852,0.0001328,0.00011918,0,0,0,0,0
5,0.009019654,0.008078739,0.00010804,0.00010107,0,0,0,0,0
6,0.009221831,0.008202895,0.00010566,0.00008709,0,0,0,0,0
7,0.009469562,0.008482909,0.00008239,0.00008583,0,0,0,0,0
8,0.009586618,0.008549310,0.0000833,0.00007364,0,0,0,0,0
9,0.009816739,0.008782988,0.00007853,0.00006898,0,0,0,0,0
10,0.010099105,0.009021433,0.00008937,0.00007097,0,0,0,0,0
11,0.010567095,0.009460632,0.00008582,0.00007997,0,0,0,0,0
12,0.010613001,0.009560732,0.00011128,0.0000805,0,0,0,0.018590454,0.0697654697
13,0.011015125,0.009843185,0.0001109,0.00008958,0,0,0,0.0422359794,0.121543563
14,0.011475952,0.010289812,0.00015009,0.00010839,0,0,0,0.0804491946,0.187025455
15,0.011356196,0.010211439,0.00017803,0.00012579,0.0002280012,1.25934570193224E-006,1.31321488135104E-006,0.1319039228,0.2599723186
16,0.011092849,0.009982417,0.0002597,0.00015387,0.0002280012,1.25934570193224E-006,1.31321488135104E-006,0.1913319339,0.333676356
17,0.011403511,0.010239484,0.00033879,0.00016047,0.0002280012,1.25934570193224E-006,1.31321488135104E-006,0.2522344531,0.4032136019
18,0.011806808,0.010662167,0.00048147,0.00022841,0.0002280012,1.25934570193224E-006,1.31321488135104E-006,0.3095947962,0.4660563474
19,0.011974115,0.010799624,0.00048868,0.00020654,0.0002280012,1.25934570193224E-006,1.31321488135104E-006,0.3608901961,0.5215515502
20,0.012217385,0.011123869,0.00053788,0.00022199,0.0016053935,6.48122633720468E-006,3.43882704125838E-006,0.4056830918,0.570109617
21,0.012644869,0.011512298,0.00054041,0.00020929,0.0016053935,6.48122633720468E-006,3.43882704125838E-006,0.4447569047,0.612563577
22,0.012248968,0.011293252,0.00053138,0.00022433,0.0016053935,6.48122633720468E-006,3.43882704125838E-006,0.4793860508,0.6497923194
23,0.012642403,0.011638005,0.00052279,0.00022858,0.0016053935,6.48122633720468E-006,3.43882704125838E-006,0.5108811892,0.682548304
24,0.012453023,0.011463412,0.00055956,0.00020214,0.0016053935,6.48122633720468E-006,3.43882704125838E-006,0.5403544957,0.7114083905
25,0.012261061,0.011450331,0.00054939,0.00021998,0.0022695385,8.57992175369934E-006,4.28949389637392E-006,0.5686207779,0.7367869969
26,0.011755149,0.011061902,0.00058103,0.00023667,0.0022695385,8.57992175369934E-006,4.28949389637392E-006,0.5961747709,0.7589741406
27,0.011805752,0.011089948,0.00063296,0.00026865,0.0022695385,8.57992175369934E-006,4.28949389637392E-006,0.6232117112,0.7781775172
28,0.011892282,0.011229623,0.00060092,0.00025287,0.0022695385,8.57992175369934E-006,4.28949389637392E-006,0.6496747388,0.7945582961
29,0.012272567,0.011562625,0.00065759,0.00028692,0.0022695385,8.57992175369934E-006,4.28949389637392E-006,0.6753196321,0.808256924
30,0.012135199,0.011615169,0.00063989,0.00028303,0.0012895137,4.90662641178142E-006,0.000001661,0.6997884957,0.8194093784
31,0.012143653,0.011663058,0.00071375,0.00030202,0.0012895137,4.90662641178142E-006,0.000001661,0.722683006,0.8281567601
32,0.011531486,0.011156792,0.0007351,0.00035447,0.0012895137,4.90662641178142E-006,0.000001661,0.7436276182,0.8346522872
33,0.011444604,0.011074872,0.00076333,0.00036564,0.0012895137,4.90662641178142E-006,0.000001661,0.7623152871,0.8390700419
34,0.011585494,0.011057357,0.00079318,0.00042478,0.0012895137,4.90662641178142E-006,0.000001661,0.7785325533,0.841619532
35,0.011614729,0.011199027,0.00083999,0.00039776,0.0012895137,4.90662641178142E-006,0.000001661,0.7921658204,0.8425693797
36,0.011345629,0.010923114,0.00088085,0.00047521,0.0012895137,4.90662641178142E-006,0.000001661,0.8031945988,0.8422820092
37,0.011502369,0.011165439,0.00094888,0.00053368,0.0012895137,4.90662641178142E-006,0.000001661,0.8116794469,0.84125849
38,0.011758084,0.011304559,0.00109918,0.00055671,0.0012895137,4.90662641178142E-006,0.000001661,0.8177523532,0.8401878004
39,0.012832252,0.012263105,0.001148,0.00066155,0.0012895137,4.90662641178142E-006,0.000001661,0.8216160392,0.8399868887
40,0.014126091,0.013481489,0.00128285,0.00070623,0.0013015801,4.33294877154547E-006,8.5380591749596E-007,0.823556755,0.8418067117
41,0.014893119,0.014071227,0.00136952,0.0008015,0.0013015801,4.33294877154547E-006,8.5380591749596E-007,0.8239727375,0.8469659067
42,0.016467446,0.015424519,0.0015294,0.00089009,0.0013015801,4.33294877154547E-006,8.5380591749596E-007,0.8234170902,0.8567617317
